Brand,Avg Rating,Total Comment,Seller Rating,Front Camera,Camera Resolution,Battery Capacity,NFC,Screen Size,Screen Resolution,RAM Capacity,Wireless Charging
Apple,4.8,4828,10,12 MP,12 MP + 12 MP,2500 - 2999 mAh,Var,"6,1 inç",,4 GB RAM,Var
Xiaomi,4.7,2510,10,"8,0 MP",50 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,78 inç",,8 GB RAM,Yok
Apple,4.8,18433,10,12 MP,12 MP + 12 MP,3000 - 3499 mAh,,"6,1 inç",,4 GB RAM,Var
Xiaomi,4.6,2328,10,5 MP,50 MP,5000 mAh ve Üzeri,,"6,71 inç",,4 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
POCO,4.6,462,"9,9","8,0 MP",50 MP + 2 MP,5000 mAh ve Üzeri,,"6,74 inç",,8 GB RAM,Yok
Samsung,4.6,57,10,13 MP,50 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,5 inç",1080 x 2400,8 GB RAM,Yok
Apple,4.8,2251,10,12 MP,48 MP + 12 MP + 12 MP,4000 - 4999 mAh,,"6,7 inç",,8 GB RAM,Var
,,,,,,,,,,,
HONOR,4.5,9604,10,50 MP,200 MP + 12 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,6 inç",2436 x 1125,12 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Xiaomi,4.8,42,"9,6","8,0 MP",50 MP + 2 MP,5000 mAh ve Üzeri,,"6,74 inç",,6 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Apple,4.8,2033,10,12 MP,48 MP + 12 MP,3500 - 3999 mAh,,"6,1 inç",,6 GB RAM,Var
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Samsung,4.8,171,"9,2",32 MP,12 MP,5000 mAh ve Üzeri,,"6,6 inç",1080 x 2340,8 GB RAM,Yok
Samsung,4.7,255,"9,5",13 MP,50 MP + 5 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,5 inç",1080 x 2400,6 GB RAM,Yok
Samsung,4.3,109,10,13 MP,50 MP + 5 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,7 inç",1080 x 2400,4 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Samsung,3.3,752,10,"1,3 MP","1,3 MP",2000 - 2499 mAh,,"1,36 inç",,1 GB RAM,Yok
Samsung,4.7,299,"9,7",12 MP,50 MP,4000 - 4999 mAh,Var,"6,7 inç",,12 GB RAM,Var
,,,,,,,,,,,
,,,,,,,,,,,
Reeder,3.8,6962,09,5 MP,8 MP,3500 - 3999 mAh,,"6,5 inç",,4 GB RAM,Yok
Samsung,4.8,74,"9,5",13 MP,50 MP + 5 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,5 inç",1080 x 2400,4 GB RAM,Yok
Samsung,4.6,26,"9,9",12 MP,50 MP,4000 - 4999 mAh,Var,"6,1 inç",,8 GB RAM,Var
POCO,4.7,118,"9,2",16 MP,64 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,8 GB RAM,Yok
Apple,4.8,3876,10,12 MP,12 MP + 12 MP,3000 - 3499 mAh,,"6,1 inç",,6 GB RAM,Var
,,,,,,,,,,,
,,,,,,,,,,,
Samsung,3.5,3093,"9,5",Yok,Yok,,Yok,"2,0 inç",128 x 160,,Yok
Samsung,4.8,583,"9,5",12 MP,200 MP + 12 MP + 10 MP + 10 MP,5000 mAh ve Üzeri,,"6,8 inç",,8 GB RAM,Var
,,,,,,,,,,,
Samsung,4.5,110,10,13 MP,8 MP,5000 mAh ve Üzeri,,"6,6 inç",1080 x 2340,8 GB RAM,Yok
Samsung,4.8,1292,"9,7",12 MP,50 MP + 12 MP + 10 MP,3500 - 3999 mAh,,"6,1 inç",,8 GB RAM,Var
,,,,,,,,,,,
Nokia,2.8,383,09,"0,3 MP","0,08 MP",0 - 1499 mAh,,"1,8 inç",,1 GB RAM,Yok
Samsung,4.7,2335,"9,5",32 MP,50 MP + 12 MP + 5 MP,5000 mAh ve Üzeri,,"6,4 inç",,8 GB RAM,Yok
Samsung,4.7,2067,"9,6",10 MP,50 MP +12 MP +10 MP,3500 - 3999 mAh,,"6,1 inç",,8 GB RAM,Var
Reeder,4.2,2392,"9,5",5 MP,13 MP,3500 - 3999 mAh,,"6,5 inç",,4 GB RAM,Yok
,,,,,,,,,,,
Samsung,3.4,2187,"9,1",Yok,Yok,0 - 1499 mAh,,"1,52 inç",,Yok,Yok
,,,,,,,,,,,
Samsung,3.0,108,"9,2",Yok,Yok,0 - 1499 mAh,,3 inç,,1 GB RAM,Yok
POCO,4.8,201,"9,4",16 MP,64 MP + 12 MP + 8 MP,5000 mAh ve Üzeri,,"6,67 inç",,12 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Oppo,4.4,51,"9,7",32 MP,64 MP + 13 MP + 5 MP,5000 mAh ve Üzeri,Var,"6,7 inç",2400 x 1080,8 GB RAM,Yok
Xiaomi,4.5,1020,"9,9",13 MP,50 MP,5000 mAh ve Üzeri,,"6,71 inç",,6 GB RAM,Yok
General Mobile,4.8,62,"9,5",5 MP,32.0 MP + 5.0 MP + 8.0 MP,5000 mAh ve Üzeri,,"6,5 inç",720 x 1600,4 GB RAM,Yok
,,,,,,,,,,,
POCO,4.8,894,"9,5",16 MP,64 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,67 inç",,12 GB RAM,Yok
Apple,4.8,907,10,12 MP,48 MP + 12 MP + 12 MP,4000 - 4999 mAh,,"6,7 inç",,8 GB RAM,Var
Realme,4.7,557,"9,9","8,0 MP",64 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,,"6,7 inç",,6 GB RAM,Yok
,,,,,,,,,,,
Apple,4.8,249,10,12 MP,48 MP + 12 MP,4000 - 4999 mAh,,"6,7 inç",,6 GB RAM,Var
Nokia,2.8,111,"9,1","0,3 MP","1,3 MP",0 - 1499 mAh,,"1,52 inç",,1 GB RAM,Yok
Samsung,3.1,1472,"9,5",Yok,"0,08 MP",0 - 1499 mAh,,"2,0 inç",,Yok,Yok
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Tecno,4.7,83,"9,9",32 MP,108 MP,5000 mAh ve Üzeri,,"6,78 inç",,8 GB RAM,Yok
,,,,,,,,,,,
Xiaomi,4.7,694,"9,6",20 MP,50 MP +40 MP +12 MP,5000 mAh ve Üzeri,Var,"6,67 inç",,12 GB RAM,Yok
Xiaomi,4.0,226,09,16 MP,200 MP + 8 MP + 2 MP,5000 mAh ve Üzeri,,"6,67 inç",,12 GB RAM,Yok
,,,,,,,,,,,
,,,,,,,,,,,
Xiaomi,4.6,8438,"9,3",16 MP,108 MP + 8 MP + 2 MP + 2 MP,5000 mAh ve Üzeri,Var,"6,67 inç",,8 GB RAM,Yok
Alcatel,4.3,137,"9,4","0,3 MP","0,3 MP",0 - 1499 mAh,,"5,01 inç",,16 MB RAM,Yok
