stock_name,stock_code,price,revunue,profit margin,market cap,price/book,Enterprise Value/EBITDA,Environmental Risk Score,Social Risk Score,Governance Risk Score
Microsoft Corporation,MSFT,467.56,236.58B,36.43%,3.48T,13.73,27.20,1.5,7.5,6.1
Apple Inc.,AAPL,226.34,381.62B,26.31%,3.47T,46.78,26.38,0.5,7.4,9.4
NVIDIA Corporation,NVDA,125.83,79.77B,53.40%,3.10T,62.99,60.68,2.3,4.9,6.3
"Amazon.com, Inc.",AMZN,200,590.74B,6.38%,2.08T,9.61,21.60,6.0,15.4,9.2
"Meta Platforms, Inc.",META,539.91,142.71B,32.06%,1.37T,9.16,20.18,2.7,21.1,10.3
Alphabet Inc.,GOOGL,190.6,318.15B,25.90%,2.36T,8.04,20.97,1.6,11.2,11.5
Alphabet Inc.,GOOG,191.96,318.15B,25.90%,2.36T,8.10,20.97,,,
,BRK.B,,--,--,--,--,--,,,
Eli Lilly and Company,LLY,914.57,35.93B,17.08%,823.48B,64.27,87.43,2.5,12.6,9.1
Broadcom Inc.,AVGO,1703.31,42.62B,24.10%,792.87B,11.33,41.99,7.3,6.0,6.6
JPMorgan Chase & Co.,JPM,204.79,150B,33.57%,588.09B,1.92,--,1.1,16.5,11.7
"Tesla, Inc.",TSLA,251.52,94.75B,14.37%,802.15B,12.46,56.91,3.3,14.1,7.8
Exxon Mobil Corporation,XOM,113.37,335.35B,9.78%,508.57B,2.48,7.32,23.1,10.0,8.5
UnitedHealth Group Incorporated,UNH,488.01,379.49B,4.05%,449.16B,5.18,16.83,0.0,9.7,5.6
Visa Inc.,V,270.36,34.14B,53.87%,553.18B,14.00,23.29,1.8,8.2,6.7
,,,,,,,,9.6,12.2,6.7
Costco Wholesale Corporation,COST,885.67,253.7B,2.83%,392.65B,18.04,32.58,6.5,11.2,5.6
Mastercard Incorporated,MA,449.49,25.7B,46.09%,417.85B,57.69,27.02,2.2,6.7,8.3
Johnson & Johnson,JNJ,146.48,85.65B,44.92%,352.53B,5.03,12.76,0.9,15.0,8.0
"The Home Depot, Inc.",HD,334.58,151.83B,9.79%,331.77B,182.29,15.32,3.3,5.6,3.8
"Merck & Co., Inc.",MRK,126.45,61.4B,3.76%,320.27B,7.93,38.85,1.9,10.6,8.9
AbbVie Inc.,ABBV,167.25,54.4B,11.02%,295.34B,36.89,18.98,2.4,17.2,10.4
"Netflix, Inc.",NFLX,690.65,34.93B,18.42%,297.60B,13.93,13.36,0.1,7.3,9.0
Walmart Inc.,WMT,70.04,657.33B,2.88%,563.37B,6.93,15.06,5.9,12.4,7.1
Bank of America Corporation,BAC,40.41,93.36B,26.81%,316.02B,1.19,--,1.7,15.1,11.5
Chevron Corporation,CVX,154.31,192.79B,10.53%,282.20B,1.76,6.78,17.0,9.2,10.4
"Advanced Micro Devices, Inc.",AMD,171.9,22.8B,4.90%,277.84B,4.94,66.31,,,
Adobe Inc.,ADBE,578.34,20.43B,24.86%,256.44B,17.28,34.21,1.9,6.0,5.2
"Salesforce, Inc.",CRM,263.19,35.74B,15.30%,255.03B,4.27,24.55,2.0,7.5,5.4
The Coca-Cola Company,KO,63.76,46.07B,23.41%,274.68B,10.39,19.49,7.2,9.5,4.9
Oracle Corporation,ORCL,144.83,52.96B,19.76%,399.13B,45.86,22.22,0.5,7.8,5.6
"PepsiCo, Inc.",PEP,164.39,91.88B,10.00%,226.00B,11.87,16.57,7.3,9.6,5.2
QUALCOMM Incorporated,QCOM,205.75,36.41B,23.03%,229.62B,9.38,20.79,5.3,4.5,5.6
Wells Fargo & Company,WFC,59.62,77.6B,24.19%,207.85B,1.28,--,2.0,14.8,19.4
Thermo Fisher Scientific Inc.,TMO,540.1,42.49B,14.20%,206.16B,4.53,20.67,1.4,4.9,6.5
Linde plc,LIN,435.72,32.76B,19.26%,209.46B,5.39,18.16,,,
"Applied Materials, Inc.",AMAT,242.59,26.5B,27.56%,200.86B,11.04,22.29,4.5,3.0,5.3
"Cisco Systems, Inc.",CSCO,46.65,55.36B,21.88%,187.94B,4.11,11.75,0.4,6.9,6.5
Accenture plc,ACN,299.14,64.48B,10.79%,187.38B,6.75,17.28,0.8,4.6,4.4
Intuit Inc.,INTU,668.75,15.81B,19.43%,186.95B,9.97,39.89,1.0,10.7,4.7
McDonald's Corporation,MCD,251.09,25.76B,33.36%,180.96B,--,16.42,7.6,12.6,5.8
Abbott Laboratories,ABT,104.02,40.33B,13.96%,180.96B,4.66,18.15,2.3,14.2,8.3
The Walt Disney Company,DIS,97.99,89.2B,1.90%,178.64B,1.80,18.70,0.0,9.0,6.7
Texas Instruments Incorporated,TXN,198.79,16.8B,35.16%,180.99B,10.66,21.78,7.8,6.0,6.9
Verizon Communications Inc.,VZ,41.27,134.04B,8.44%,173.72B,1.84,8.62,3.7,9.6,5.4
GE Aerospace,GE,160.5,69.52B,5.05%,175.68B,5.88,19.80,14.2,15.4,10.9
Amgen Inc.,AMGN,310.88,29.53B,12.74%,166.77B,33.21,18.31,0.7,13.5,7.8
"ServiceNow, Inc.",NOW,806.47,9.48B,20.34%,165.63B,20.43,88.72,4.0,6.0,6.6
Caterpillar Inc.,CAT,328.35,67B,16.79%,160.58B,9.10,11.65,10.4,17.7,8.1
Danaher Corporation,DHR,239.25,23.74B,18.55%,177.21B,3.32,25.82,1.4,5.2,5.3
International Business Machines Corporation,IBM,176.02,62.07B,13.18%,161.69B,6.95,13.85,1.8,6.2,6.1
Pfizer Inc.,PFE,28.05,54.89B,-0.56%,158.95B,1.72,29.04,2.1,12.9,9.6
Philip Morris International Inc.,PM,102.12,35.95B,22.16%,158.75B,--,14.91,3.4,13.5,11.5
"Intuitive Surgical, Inc.",ISRG,443.76,7.32B,27.16%,157.40B,11.27,66.73,3.7,9.6,7.8
"The Goldman Sachs Group, Inc.",GS,464.75,46.73B,20.15%,149.86B,1.40,--,0.9,12.8,11.8
Comcast Corporation,CMCSA,37.86,121.94B,12.64%,148.55B,1.80,6.19,4.0,10.9,8.2
"Uber Technologies, Inc.",UBER,71.06,38.59B,3.60%,148.48B,13.43,47.67,,,
"Micron Technology, Inc.",MU,131.6,21.37B,-7.20%,145.92B,3.30,23.09,7.2,5.5,5.5
"NextEra Energy, Inc.",NEE,72.09,27.13B,27.62%,148.11B,3.04,14.16,9.4,8.3,5.6
S&P Global Inc.,SPGI,453.27,12.83B,22.00%,141.83B,4.13,28.20,0.0,6.2,6.8
Lam Research Corporation,LRCX,1087.8,14.24B,25.35%,142.22B,17.73,30.66,4.5,4.0,5.1
Honeywell International Inc.,HON,212.24,36.9B,15.52%,138.21B,8.40,16.38,11.0,10.6,7.0
Union Pacific Corporation,UNP,225.17,24.09B,26.52%,137.38B,8.77,14.26,7.3,10.6,5.6
AT&T Inc.,T,18.77,122.32B,11.13%,134.58B,1.29,6.27,3.3,13.9,6.7
ConocoPhillips,COP,112.55,56.82B,18.63%,131.04B,2.66,5.70,17.6,8.1,8.3
American Express Company,AXP,235.63,56.9B,15.81%,169.49B,5.89,--,0.1,8.9,9.7
RTX Corporation,RTX,100.37,71.01B,4.90%,133.44B,2.21,17.49,,,
Booking Holdings Inc.,BKNG,3930.15,22B,21.81%,133.34B,--,17.47,1.0,10.1,8.1
Intel Corporation,INTC,32.02,55.24B,7.36%,136.31B,1.29,14.03,4.9,7.3,6.6
"The TJX Companies, Inc.",TJX,111.64,54.91B,8.47%,126.17B,16.82,18.52,1.9,7.7,4.8
Eaton Corporation plc,ETN,317.37,23.66B,14.38%,126.91B,6.58,26.27,5.5,6.8,5.7
Morgan Stanley,MS,99.59,54.47B,17.48%,161.85B,1.79,--,1.1,12.9,10.5
"Elevance Health, Inc.",ELV,530.31,171.75B,3.64%,123.25B,3.04,--,0.1,6.0,5.3
The Progressive Corporation,PGR,210.18,65.02B,8.90%,123.10B,5.64,--,1.5,8.5,10.1
"Lowe's Companies, Inc.",LOW,213.89,85.39B,8.46%,121.88B,--,12.25,3.3,5.3,3.2
Vertex Pharmaceuticals Incorporated,VRTX,474.57,10.18B,39.46%,122.46B,6.60,22.57,,,
Citigroup Inc.,C,64.03,69.65B,11.48%,122.13B,0.65,--,1.8,13.8,13.7
Stryker Corporation,SYK,337.25,20.96B,16.03%,128.48B,6.70,26.85,4.0,13.2,11.0
Boston Scientific Corporation,BSX,76.4,14.71B,12.05%,112.32B,5.64,33.30,2.4,11.9,8.9
"Regeneron Pharmaceuticals, Inc.",REGN,1034.23,13.1B,29.45%,113.96B,4.22,23.33,0.3,11.0,6.7
"Analog Devices, Inc.",ADI,230.89,10.46B,20.45%,114.57B,3.25,25.28,9.3,6.7,7.0
KLA Corporation,KLAC,855.21,9.6B,27.19%,115.15B,37.21,31.57,7.4,5.1,4.6
"Palo Alto Networks, Inc.",PANW,342.09,7.79B,31.42%,110.77B,24.79,86.20,0.7,7.6,5.6
"BlackRock, Inc.",BLK,790.6,18.34B,32.26%,117.48B,2.96,14.27,0.9,7.4,10.0
The Charles Schwab Corporation,SCHW,73.2,18.46B,26.14%,133.82B,4.03,--,2.4,8.9,11.9
